
1. Concurrent Conflicting Updates

Replica 1 client update u1 assigned ts=(1, 1)
Replica 3 client update u2 assigned ts=(1, 3)
Replica 1 client update u3 assigned ts=(2, 1)
Replica 1 client update u4 assigned ts=(3, 1)
Replica 3 client update u5 assigned ts=(2, 3)
Replica 2 client update u6 assigned ts=(1, 2)
Replica 2 client update u7 assigned ts=(2, 2)
Replica 3 client update u8 assigned ts=(3, 3)
Replica 3 client update u9 assigned ts=(4, 3)
Replica 1 client update u10 assigned ts=(4, 1)
Replica 1 received TOBCAST u1 ts=(1, 1) from R1
Replica 2 received TOBCAST u1 ts=(1, 1) from R1
Replica 3 received TOBCAST u1 ts=(1, 1) from R1
Replica 1 received TOBCAST u2 ts=(1, 3) from R3
Replica 2 received TOBCAST u2 ts=(1, 3) from R3
Replica 3 received TOBCAST u2 ts=(1, 3) from R3
Replica 1 received TOBCAST u3 ts=(2, 1) from R1
Replica 2 delivered u1 ts=(1, 1)
Replica 2 delivered u6 ts=(1, 2)
Replica 2 received TOBCAST u3 ts=(2, 1) from R1
Replica 3 received TOBCAST u3 ts=(2, 1) from R1
Replica 1 received TOBCAST u4 ts=(3, 1) from R1
Replica 2 received TOBCAST u4 ts=(3, 1) from R1
Replica 3 received TOBCAST u4 ts=(3, 1) from R1
Replica 1 received TOBCAST u5 ts=(2, 3) from R3
Replica 2 delivered u2 ts=(1, 3)
Replica 2 delivered u3 ts=(2, 1)
Replica 2 delivered u7 ts=(2, 2)
Replica 2 received TOBCAST u5 ts=(2, 3) from R3
Replica 3 received TOBCAST u5 ts=(2, 3) from R3
Replica 1 delivered u1 ts=(1, 1)
Replica 1 received TOBCAST u6 ts=(1, 2) from R2
Replica 2 received TOBCAST u6 ts=(1, 2) from R2
Replica 3 delivered u1 ts=(1, 1)
Replica 3 received TOBCAST u6 ts=(1, 2) from R2
Replica 1 delivered u6 ts=(1, 2)
Replica 1 delivered u2 ts=(1, 3)
Replica 1 delivered u3 ts=(2, 1)
Replica 1 received TOBCAST u7 ts=(2, 2) from R2
Replica 2 received TOBCAST u7 ts=(2, 2) from R2
Replica 3 delivered u6 ts=(1, 2)
Replica 3 delivered u2 ts=(1, 3)
Replica 3 delivered u3 ts=(2, 1)
Replica 3 received TOBCAST u7 ts=(2, 2) from R2
Replica 1 received TOBCAST u8 ts=(3, 3) from R3
Replica 2 delivered u5 ts=(2, 3)
Replica 2 received TOBCAST u8 ts=(3, 3) from R3
Replica 3 received TOBCAST u8 ts=(3, 3) from R3
Replica 1 received TOBCAST u9 ts=(4, 3) from R3
Replica 2 received TOBCAST u9 ts=(4, 3) from R3
Replica 3 received TOBCAST u9 ts=(4, 3) from R3
Replica 1 received TOBCAST u10 ts=(4, 1) from R1
Replica 2 delivered u4 ts=(3, 1)
Replica 2 delivered u8 ts=(3, 3)
Replica 2 received TOBCAST u10 ts=(4, 1) from R1
Replica 3 received TOBCAST u10 ts=(4, 1) from R1
Replica 2 delivered u10 ts=(4, 1)
Replica 1 delivered u7 ts=(2, 2)
Replica 1 delivered u5 ts=(2, 3)
Replica 1 delivered u4 ts=(3, 1)
Replica 1 delivered u8 ts=(3, 3)
Replica 1 delivered u10 ts=(4, 1)
Replica 3 delivered u7 ts=(2, 2)
Replica 3 delivered u5 ts=(2, 3)
Replica 3 delivered u4 ts=(3, 1)
Replica 3 delivered u8 ts=(3, 3)
Replica 3 delivered u10 ts=(4, 1)
Replica 2 delivered u9 ts=(4, 3)
Replica 1 delivered u9 ts=(4, 3)
Replica 3 delivered u9 ts=(4, 3)

Final States:
Replica 1 | clock=54 | delivered=['u1', 'u6', 'u2', 'u3', 'u7', 'u5', 'u4', 'u8', 'u10', 'u9'] | store={'x': '10BBA'}
Replica 2 | clock=52 | delivered=['u1', 'u6', 'u2', 'u3', 'u7', 'u5', 'u4', 'u8', 'u10', 'u9'] | store={'x': '10BBA'}
